id,name,account_id,account_number,account_agency,account_balance,account_limit,card_id,card_number,card_limit,features,news
1,Ana,1001,78858-9,0001,2333.09,500.0,2001,**** **** **** 7648,1100.0,Seguros,
2,Bruno,1002,32705-4,0001,3279.85,500.0,2002,**** **** **** 7816,1200.0,Pix;Investimentos,
3,Carlos,1003,44555-9,0001,216.18,500.0,2003,**** **** **** 1073,1300.0,Seguros,
4,Daniela,1004,73603-8,0001,4854.09,500.0,2004,**** **** **** 1524,1400.0,Pix;Investimentos,
5,Eduardo,1005,54549-7,0001,2460.22,500.0,2005,**** **** **** 4753,1500.0,Seguros,
6,Fernanda,1006,99297-5,0001,3298.82,500.0,2006,**** **** **** 9778,1600.0,Pix;Investimentos,
7,Gabriel,1007,39078-9,0001,3358.1,500.0,2007,**** **** **** 6929,1700.0,Seguros,
8,Helena,1008,37846-3,0001,1983.92,500.0,2008,**** **** **** 2340,1800.0,Pix;Investimentos,
9,Igor,1009,83547-4,0001,4620.78,500.0,2009,**** **** **** 3654,1900.0,Seguros,
10,Juliana,1010,27321-6,0001,3688.33,500.0,2010,**** **** **** 6966,2000.0,Pix;Investimentos,
